Province_State,Country_Region,Lat,Long,Date,Population,Confirmed,Deaths,Combined_Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Maine,US,45.709097,-68.8590201,2020-01-22,333290464,1,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-01-23,333290464,1,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-01-24,333290464,2,1,"Maine, US",1,0,0,0
Maine,US,45.709097,-68.8590201,2020-01-25,333290464,2,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-01-26,333290464,5,1,"Maine, US",3,0,0,0
Maine,US,45.709097,-68.8590201,2020-01-27,333290464,5,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-01-28,333290464,5,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-01-29,333290464,6,1,"Maine, US",1,0,0,0
Maine,US,45.709097,-68.8590201,2020-01-30,333290464,6,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-01-31,333290464,8,1,"Maine, US",2,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-01,333290464,8,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-02,333290464,8,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-03,333290464,11,1,"Maine, US",3,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-04,333290464,11,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-05,333290464,11,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-06,333290464,12,1,"Maine, US",1,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-07,333290464,12,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-08,333290464,12,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-09,333290464,12,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-10,333290464,12,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-11,333290464,13,1,"Maine, US",1,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-12,333290464,13,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-13,333290464,14,1,"Maine, US",1,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-14,333290464,14,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-15,333290464,14,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-16,333290464,14,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-17,333290464,14,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-18,333290464,14,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-19,333290464,14,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-20,333290464,14,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-21,333290464,16,1,"Maine, US",2,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-22,333290464,16,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-23,333290464,16,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-24,333290464,16,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-25,333290464,16,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-26,333290464,16,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-27,333290464,17,1,"Maine, US",1,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-28,333290464,17,1,"Maine, US",0,0,0,0
Maine,US,45.709097,-68.8590201,2020-02-29,333290464,25,2,"Maine, US",8,1,1,0
Maine,US,45.709097,-68.8590201,2020-03-01,333290464,32,2,"Maine, US",7,0,2,0
Maine,US,45.709097,-68.8590201,2020-03-02,333290464,55,7,"Maine, US",23,5,5,0
Maine,US,45.709097,-68.8590201,2020-03-03,333290464,75,8,"Maine, US",20,1,8,1
Maine,US,45.709097,-68.8590201,2020-03-04,333290464,108,12,"Maine, US",33,4,13,1
Maine,US,45.709097,-68.8590201,2020-03-05,333290464,185,13,"Maine, US",77,1,24,1
Maine,US,45.709097,-68.8590201,2020-03-06,333290464,238,15,"Maine, US",53,2,31,2
Maine,US,45.709097,-68.8590201,2020-03-07,333290464,404,18,"Maine, US",166,3,54,2
Maine,US,45.709097,-68.8590201,2020-03-08,333290464,520,22,"Maine, US",116,4,69,2
Maine,US,45.709097,-68.8590201,2020-03-09,333290464,595,24,"Maine, US",75,2,77,2
Maine,US,45.709097,-68.8590201,2020-03-10,333290464,789,29,"Maine, US",194,5,102,3
Maine,US,45.709097,-68.8590201,2020-03-11,333290464,1152,34,"Maine, US",363,5,149,3
Maine,US,45.709097,-68.8590201,2020-03-12,333290464,1628,44,"Maine, US",476,10,206,4
Maine,US,45.709097,-68.8590201,2020-03-13,333290464,2335,52,"Maine, US",707,8,299,5
Maine,US,45.709097,-68.8590201,2020-03-14,333290464,3095,61,"Maine, US",760,9,384,6
Maine,US,45.709097,-68.8590201,2020-03-15,333290464,3233,72,"Maine, US",138,11,387,7
Maine,US,45.709097,-68.8590201,2020-03-16,333290464,4698,100,"Maine, US",1465,28,586,10
Maine,US,45.709097,-68.8590201,2020-03-17,333290464,6542,144,"Maine, US",1844,44,821,16
Maine,US,45.709097,-68.8590201,2020-03-18,333290464,9199,211,"Maine, US",2657,67,1149,25
Maine,US,45.709097,-68.8590201,2020-03-19,333290464,14216,303,"Maine, US",5017,92,1798,37
Maine,US,45.709097,-68.8590201,2020-03-20,333290464,21151,417,"Maine, US",6935,114,2688,52
Maine,US,45.709097,-68.8590201,2020-03-21,333290464,26684,526,"Maine, US",5533,109,3369,66
Maine,US,45.709097,-68.8590201,2020-03-22,333290464,35634,668,"Maine, US",8950,142,4628,85
Maine,US,45.709097,-68.8590201,2020-03-23,333290464,47342,889,"Maine, US",11708,221,6092,112
Maine,US,45.709097,-68.8590201,2020-03-24,333290464,57970,1181,"Maine, US",10628,292,7346,148
Maine,US,45.709097,-68.8590201,2020-03-25,333290464,70422,1563,"Maine, US",12452,382,8746,193
Maine,US,45.709097,-68.8590201,2020-03-26,333290464,89719,2068,"Maine, US",19297,505,10786,252
Maine,US,45.709097,-68.8590201,2020-03-27,333290464,108635,2664,"Maine, US",18916,596,12497,321
Maine,US,45.709097,-68.8590201,2020-03-28,333290464,128950,3389,"Maine, US",20315,725,14609,409
Maine,US,45.709097,-68.8590201,2020-03-29,333290464,148788,4045,"Maine, US",19838,656,16164,482
Maine,US,45.709097,-68.8590201,2020-03-30,333290464,172115,4905,"Maine, US",23327,860,17824,573
Maine,US,45.709097,-68.8590201,2020-03-31,333290464,198205,6296,"Maine, US",26090,1391,20033,730
Maine,US,45.709097,-68.8590201,2020-04-01,333290464,232307,7500,"Maine, US",34102,1204,23126,848
Maine,US,45.709097,-68.8590201,2020-04-02,333290464,264972,9230,"Maine, US",32665,1730,25036,1023
Maine,US,45.709097,-68.8590201,2020-04-03,333290464,297649,10847,"Maine, US",32677,1617,27002,1169
