Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Bhutan,27.5142,90.4336,2020-01-22,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-01-23,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-01-24,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-01-25,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-01-26,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-01-27,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-01-28,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-01-29,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-01-30,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-01-31,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-02-01,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-02-02,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-02-03,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-02-04,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-02-05,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-02-06,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-02-07,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-02-08,0,0,", Bhutan",771608.0,0,0,0,0
,Bhutan,27.5142,90.4336,2020-02-09,0,0,", Bhutan",771608.0,0,0,0,0
