Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-22,0,0,"Newfoundland and Labrador, Canada",523790.0,,,,
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-23,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,,
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-24,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,,
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-25,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,,
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-26,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,,
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-27,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,,
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-28,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,,
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-29,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-30,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-31,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-01,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-02,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-03,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-04,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-05,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-06,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-07,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-08,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-09,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-10,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-11,0,0,"Newfoundland and Labrador, Canada",523790.0,0.0,0.0,0.0,0.0
